user_input,reference,reference_video_url,persona_name,query_style,query_length
소아청소년과에서 수족구병에 대해 부모님들이 알아야 할 중요한 정보는 뭐에요?,"수족구병은 전염성이 매우 강한 질병으로, 급성기에는 어린이집이나 유치원에 보내지 않는 것이 권장됩니다. 아이가 열이 내리고 입안의 물집이 나을 때까지 등원하지 않아야 하며, 수족구병이 의심되면 소아청소년과 진료를 받아야 합니다. 증상 완화를 위해 해열제와 진통제를 사용할 수 있으며, 탈수를 예방하기 위해 충분한 수분 섭취가 중요합니다. 손과 발, 입에 물집이 생기며, 심한 경우 엉덩이와 무릎에도 물집이 생길 수 있습니다. 아이가 두통, 구토, 기운 없음, 의식 흐림 등의 증상이 있을 경우 즉시 소아청소년과 진료를 받아야 합니다.",https://www.youtube.com/watch?v=omxS7s9dn-E,a compassionate pediatrician,POOR_GRAMMAR,LONG
일본뇌염 예방을 위해 IR3535 성분의 모기기피제를 사용하는 것이 왜 중요한가요?,"IR3535 성분의 모기기피제를 사용하는 것은 일본뇌염 경보가 발령된 상황에서 모기에 물리지 않도록 하는 데 도움이 됩니다. 모기에 물리지 않도록 주의하는 것은 예방접종을 받지 않은 사람에게 특히 중요하며, 모기가 많이 활동하는 저녁 시간대의 야외 활동을 피하고 밝은색 옷을 입고 팔과 다리를 가릴 수 있는 긴 바지와 긴소매 옷을 착용하는 것과 함께 IR3535와 같은 모기기피제를 사용하는 것이 효과적입니다.",https://www.youtube.com/watch?v=VNS2QM4M5jo,a pediatric medical expert,PERFECT_GRAMMAR,MEDIUM
하정우 소아청소년과 전문의가 제시한 코로나 격리 기간 동안의 쓰레기 처리 지침은 무엇인가요?,"하정우 소아청소년과 전문의는 감염이 의심되는 환자는 격리하고 외출을 자제해야 하며, 격리 기간 동안 발생한 모든 쓰레기는 함부로 버리지 말고 제공되는 종량제 봉투에 담아 소독제로 처리하고 봉투 외부를 충분히 소독한 후 보관해야 한다고 안내합니다. 재활용품과 음식물 쓰레기는 소독하여 분리 배출해야 하며, 모든 쓰레기는 하루 1회 이상 소독한 뒤 배출하는 것이 권장됩니다. 격리 기간 중에는 폐기물의 외부 배출이 원칙적으로 금지되며, 격리 해제 후 수거가 이루어집니다.",https://www.youtube.com/watch?v=Uf0uPeOasA4,a compassionate pediatrician,WEB_SEARCH_LIKE,LONG
코로나와 관련하여 소아청소년과에서 부모가 주의해야 할 점은 무엇인가요?,"코로나 유행으로 호흡기 질환 발생이 줄어 아이들이 면역을 충분히 형성하지 못했을 가능성이 있어 사회적 거리두기가 완화되면 여러 호흡기 질환에 더 많이 걸리고 더 심하게 앓을 아이들이 늘어날 것으로 예상됩니다. 따라서 발열·기침·콧물만 있다고 단순히 감기라고 생각해서는 안 됩니다. 어린아이들은 성인과 달리 경과가 다르고 감기 후 합병증이 잘 생길 수 있으니 더 주의를 기울여야 합니다. 특히 영아는 심한 병이 와도 처음에는 단순한 감기 증상만 보이는 경우가 많아 영아와 큰아이, 어른을 동일하게 '그냥 두면 된다'고 보는 것은 위험합니다.",https://www.youtube.com/watch?v=evUMFZcLkeo,a compassionate pediatrician,WEB_SEARCH_LIKE,LONG
구토는 요로감염의 어떤 증상으로 나타날 수 있나요?,"구토는 요로감염의 증상 중 하나로, 특히 어린 아기들에게 나타날 수 있습니다. 이 외에도 배나 옆구리 통증, 식욕 부진, 계속 칭얼거리거나 보채는 증상 등이 있을 수 있습니다.",https://www.youtube.com/watch?v=eXCjsY4NvSk,a pediatric medical expert,PERFECT_GRAMMAR,SHORT
부모가 열성경련을 경험한 아이를 어떻게 대처해야 하나요?,"부모는 열성경련을 경험하는 아이를 절대 당황하지 않고 대처해야 합니다. 경미한 경우에는 아이를 평평한 곳에 눕히고, 입안에 음식물이 있으면 빼주며 고개를 옆으로 젖혀 침이나 내용물이 흘러나오게 해야 합니다. 아이의 상태를 잘 관찰하며 조용히 격려하고, 경련이 비대칭이거나 지속 시간이 길면 시간을 확인해 병원에 갔을 때 알려 주는 것이 중요합니다. 경련이 20분 이상 지속되거나 다른 문제가 의심되면 119에 연락하거나 바로 응급실로 가는 것이 좋습니다.",https://www.youtube.com/watch?v=gOYrzoLq9Rg,a pediatrician,WEB_SEARCH_LIKE,SHORT
소아청소년과에서 사시의 증상과 치료 방법에 대해 어떻게 설명하나요?,"소아청소년과 전문의는 사시를 두 눈이 동시에 같은 곳을 보지 않는 상태로 설명합니다. 부모가 알아차리기 어려운 경우가 많으며, 아이가 TV나 물건을 볼 때 머리를 한쪽으로 기울이거나 한쪽 눈으로만 보는 경우, 밝은 곳에서 눈을 찡그리는 경우에 사시를 의심해야 합니다. 사시가 심하면 복시가 나타나거나 혼란을 겪을 수 있으며, 뇌는 사시가 있는 눈에서 들어오는 정보를 무시하여 그 눈을 사용하지 않게 됩니다. 치료 방법으로는 수술이 필요할 수 있으며, 어릴수록 수술 효과가 좋으므로 필요한 경우 안과와 상의해 수술 시기를 결정해야 합니다. 또한, 아기 눈에 이상이 보이면 한두 달 된 아기라도 소아청소년과에 문의해 확인받는 것이 중요합니다.",https://www.youtube.com/watch?v=o_qNbZM9aoo,a pediatric medical expert,WEB_SEARCH_LIKE,LONG
단백질이 MSG에 어떻게 관련되어 있나요?,"MSG는 모노소듐 글루타메이트의 약자로, 글루타민산은 단백질을 구성하는 아미노산의 하나입니다. 따라서 MSG는 단백질과 관련이 있으며, 많은 식품에 자연적으로 존재합니다.",https://www.youtube.com/watch?v=anQztIwRJ7o,a compassionate pediatrician,MISSPELLED,MEDIUM
10세 아동에서 야경증의 일반적인 발생 시기는 언제인가요?,야경증은 보통 4세에서 10세 사이에 시작하지만 더 어린 아이에게도 생길 수 있습니다.,https://www.youtube.com/watch?v=ga5buDGcdGw,a pediatrician,PERFECT_GRAMMAR,SHORT
독감에 걸린 아이가 중이염에 걸릴 확률이 높다는 것을 어떻게 설명할 수 있나요?,"독감에 걸리면 중이염이 잘 생기므로, 독감 예방접종은 꼭 하시고, 폐렴구균 접종은 중이염 예방에 매우 효과적이므로 가능하면 13가 백신으로 접종하는 것을 권장합니다.",https://www.youtube.com/watch?v=waF-ils7X1Y,a pediatric medical expert,MISSPELLED,LONG
부모가 야뇨증에 대해 알아야 할 중요한 점은 무엇인가요?,"부모는 야뇨증이 아이에게 수치심을 느끼게 하고 정서적·사회적 문제로 이어질 수 있음을 이해해야 합니다. 또한, 아이가 스트레스를 받을 수 있는 상황을 인식하고, 정서적 지원을 제공하는 것이 중요합니다. 아이를 부끄럽게 하거나 야단치지 말고, 긍정적인 격려를 통해 자신감을 주어야 합니다. 만 5세 이상에서 한 달에 두 번 이상 밤에 소변을 가리지 못한다면 야뇨증을 의심하고, 전문의 진료를 받는 것이 좋습니다.",https://www.youtube.com/watch?v=OSaArl7n-fM,a compassionate pediatrician,WEB_SEARCH_LIKE,MEDIUM
장염이 아이의 복통에 어떤 영향을 미칠 수 있는지 설명해 줄 수 있나요?,"장염은 설사를 동반하며, 복통의 원인 중 하나입니다. 복통이 있을 때 장염이 원인일 경우, 아이는 심한 복통과 함께 변의 이상이 있을 수 있습니다. 따라서 아이가 복통을 호소할 때 장염을 고려하는 것이 중요합니다.",https://www.youtube.com/watch?v=uouQmwIkB28,a pediatrician,POOR_GRAMMAR,LONG
모노소듐 글루타메이트가 아이들에게 안전한지에 대한 우려는 무엇인가요?,"모노소듐 글루타메이트(MSG)는 기본적으로 안전하다고 여겨지지만, 아이들에게는 신중하게 사용해야 합니다. MSG가 들어간 음식은 지나치게 맛있어 아이들이 강한 맛에 길들여져 담백한 음식을 잘 먹지 않게 되고, 미각 발달과 식습관 형성에 부정적 영향을 줄 수 있습니다. 또한 MSG가 포함된 음식 때문에 더 많이 먹게 되어 체중 관리에 어려움을 줄 수 있으므로 과체중이나 비만 위험이 있는 아이들에게는 특히 주의가 필요합니다.",https://www.youtube.com/watch?v=anQztIwRJ7o,a pediatrician,MISSPELLED,LONG
열성경련이 발생했을 때 부모가 해야 할 가장 중요한 행동은 무엇인가요?,"부모가 절대 당황하지 않는 것이 가장 중요합니다. 열성경련은 무섭게 보이지만 그 자체로 아이가 위험해지는 경우는 거의 없습니다. 부모가 놀라서 잘못 대처하는 것을 피해야 하며, 아이를 평평한 곳에 눕히고 입안에 음식물이 있으면 빼주고 고개를 옆으로 젖혀 침이나 내용물이 흘러나오게 해야 합니다.",https://www.youtube.com/watch?v=gOYrzoLq9Rg,a pediatric medical expert,WEB_SEARCH_LIKE,MEDIUM
