user_input,reference,reference_video_url
"소아청소년과 의사로서, 감기가 왜 저절로 생기는 것이 아니라고 설명할 수 있나요?","감기는 전염되는 병이며, 여러 종류의 바이러스가 감기를 일으킵니다. 바이러스가 몸에 들어온다고 해서 바로 병에 걸리는 것은 아니며, 잠복기가 있어 바이러스가 들어온 뒤 한참 뒤에 증상이 나타날 수 있습니다. 또한, 증상이 없더라도 다른 사람에게 옮길 수 있는 경우가 있어, 외출한 부모가 가벼운 감기에 걸렸을 수도 있습니다.",https://www.youtube.com/watch?v=XPSRAynOrmE
방광염에 걸린 아이의 증상은 무엇인가요? 그리고 방광염을 치료할 때 주의해야 할 점은 무엇인가요?,"방광염은 대개 열이 없거나 경미한 경우가 많고 소변을 자주 보거나 참기 힘들어하고 배뇨 시 통증을 호소합니다. 치료할 때는 항생제를 사용하며 약제와 기간은 경우에 따라 다르지만 증상이 좋아 보여도 임의로 약을 중단하면 안 됩니다. 충분히 복용하지 않으면 재발하거나 염증이 신장으로 퍼져 위험해질 수 있고, 신장에 심각한 후유증이 남을 수 있으며 항생제 내성이 생길 위험이 커집니다.",https://www.youtube.com/watch?v=I67Saxxkk28
응급실 가야 할 때는 언제?,경련이 20분 이상 지속되거나 다른 문제가 의심되면 119에 연락하거나 바로 응급실로 가는 것이 좋습니다.,https://www.youtube.com/watch?v=gOYrzoLq9Rg
소아과에서 불소 도포는 왜 중요한가요?,"소아과에서 불소 도포는 어린이의 치아 건강을 유지하는 데 중요합니다. 불소는 치아의 강도를 높이고 충치를 예방하는 데 도움을 주며, 전문적인 관리가 필요할 때 소아과에서 받을 수 있습니다.",https://www.youtube.com/watch?v=R2yZQCoNW7Y
열성경련이 발생했을 때 부모가 해야 할 가장 중요한 행동은 무엇인가요?,부모가 절대 당황하지 않는 것이 가장 중요합니다. 열성경련은 무섭게 보이지만 그 자체로 아이가 위험해지는 경우는 거의 없습니다.,https://www.youtube.com/watch?v=gOYrzoLq9Rg
코로나 백신이 뭐에요?,"코로나 백신은 코로나19에 대한 예방을 위해 개발된 백신으로, 현재 많은 사람들이 접종하고 있습니다. 이 백신은 고령자와 성인 접종률을 높이는 것이 중요하며, 12세 이상의 아이들에 대한 접종도 시행되는 것이 바람직합니다.",https://www.youtube.com/watch?v=ZwMt7Tw5_RI
2차 접종은 언제 해야 하나요?,1차 접종을 했으면 2차 접종은 1차 후 4주 뒤가 원칙입니다.,https://www.youtube.com/watch?v=9oqizhkpLm8
미세먼지가 혈관에 미치는 영향은 무엇인가요?,미세먼지는 정상인도 장기간 노출되면 심장과 혈관에 영구적인 문제가 생길 수 있습니다.,https://www.youtube.com/watch?v=DZF5jSaam2g
미국에서 아기와 아이들이 코로나에 걸렸을 때 어떤 위험이 있나요?,"미국의 경우 코로나로 수천 명의 아이들이 심하게 앓았고, 코로나로 인한 사망이 소아 사망의 비중을 차지할 정도였으므로 '아이들은 걸려도 된다'고 말하는 것은 무모합니다. 아이들은 무증상이거나 가벼운 감기 증상만 보이는 경우가 많아 코로나임을 모른 채 전파할 위험이 큽니다. 특히 두 돌 이전의 아이들은 더 심하게 앓을 가능성이 높으므로 주의해야 합니다.",https://www.youtube.com/watch?v=XmZOO_u9Eto
부모가 말 늦은 아이를 어떻게 도와줄 수 있나요?,"부모가 아이의 반응에 잘 반응해주고 눈을 맞추며 기다려 주는 것, 아이가 스스로 말할 기회를 주는 것, 이름을 알려주고 아이가 답할 수 있는 형식의 대화를 이끌어 주는 것, 아이의 말을 더 길고 완전한 문장으로 반복해 주는 것, 아이의 관심을 끄는 방식으로 대화하는 것 등이 도움이 됩니다. 그러나 이러한 방법들은 보조적이며 주된 방법이 되어서는 안 되고, 일상 대화를 통한 노출이 가장 효과적이라는 점을 잊지 마십시오.",https://www.youtube.com/watch?v=GYopx8uMJIA
열성경련이 발생했을 때 경미한 경우에는 어떻게 대처해야 합니까?,"경미한 경우에는 아이를 평평한 곳에 눕히고, 입안에 음식물이 있으면 빼주며 고개를 옆으로 젖혀 침이나 내용물이 흘러나오게 하세요. 입안에 손가락을 깊게 넣어 제거하려다 물리거나 다칠 수 있으니 조심하세요. 혀를 깨물거나 숟가락 등을 억지로 넣는 것은 오히려 다칠 수 있으니 피하세요. 아이의 상태를 잘 관찰하며 조용히 격려하고, 경련이 비대칭이거나 지속 시간이 길면 시간을 확인해 병원에 갔을 때 알려 주는 것이 중요합니다.",https://www.youtube.com/watch?v=gOYrzoLq9Rg
